zipcode,number_of_yelp_businesses,geo_level,geo_name,state_name,approval_fiscal_year,loan_type,pct_black_alone,number_of_loans,loan_amount,quartiles_number_of_loans,quartiles_loan_amount,percentile_number_of_loans,percentile_loan_amount,latitude,longitude
19143,48,zip,19143,,2023,All,74.6,7,4353000,Top 25% of geographies,Top 25% of geographies,76,80,39.9454062928662,-75.22488872916666
19131,37,zip,19131,,2023,All,80.3,5,800000,51-75% of geographies,26-50% of geographies,64,42,39.98513604817514,-75.22139768891891
19144,37,zip,19144,,2023,All,73.4,5,517000,51-75% of geographies,26-50% of geographies,64,34,40.02804572449262,-75.17401430081081
19132,35,zip,19132,,2023,All,88.8,4,682000,51-75% of geographies,26-50% of geographies,55,39,39.99688334941006,-75.17133330257143
19103,33,zip,19103,,2023,All,5.3,15,2723700,Top 25% of geographies,51-75% of geographies,95,69,39.95304981362518,-75.17146432363636
19139,33,zip,19139,,2023,All,84.9,4,335000,51-75% of geographies,26-50% of geographies,55,27,39.96110297562964,-75.23187626272727
19102,32,zip,19102,,2023,All,3.8,5,2839100,51-75% of geographies,51-75% of geographies,64,70,39.95199130984778,-75.16589576125
19140,28,zip,19140,,2023,All,52.5,4,210000,51-75% of geographies,Bottom 25% of geographies,55,20,40.01182740076392,-75.15066384678572
19104,26,zip,19104,,2023,All,38.2,9,983000,Top 25% of geographies,26-50% of geographies,83,46,39.9609221647204,-75.19721369115385
19147,25,zip,19147,,2023,All,8.8,7,3615600,Top 25% of geographies,Top 25% of geographies,76,75,39.93891241818356,-75.1542515396
19106,25,zip,19106,,2023,All,6.7,6,428900,51-75% of geographies,26-50% of geographies,70,31,39.949321130538415,-75.1452777692
19107,23,zip,19107,,2023,All,13.5,6,5144300,51-75% of geographies,Top 25% of geographies,70,84,39.951378662259096,-75.15923284565217
19121,20,zip,19121,,2023,All,67.9,2,580100,26-50% of geographies,26-50% of geographies,28,36,39.98157629475195,-75.1780319655
19134,20,zip,19134,,2023,All,15.7,9,2663400,Top 25% of geographies,51-75% of geographies,83,68,39.99277105183461,-75.108591319
19130,20,zip,19130,,2023,All,14.4,5,419600,51-75% of geographies,26-50% of geographies,64,30,39.96768283690784,-75.16863410250001
19146,19,zip,19146,,2023,All,31.8,13,1920800,Top 25% of geographies,51-75% of geographies,92,60,39.93849689723572,-75.1775130731579
19124,18,zip,19124,,2023,All,36.3,12,10130000,Top 25% of geographies,Top 25% of geographies,91,96,40.01578283981177,-75.09282413
19151,17,zip,19151,,2023,All,87.6,4,102000,51-75% of geographies,Bottom 25% of geographies,55,12,39.97505637612454,-75.24809850470588
19120,17,zip,19120,,2023,All,47.0,4,324000,51-75% of geographies,26-50% of geographies,55,26,40.031477309189306,-75.1217861517647
19129,17,zip,19129,,2023,All,28.4,5,205000,51-75% of geographies,Bottom 25% of geographies,64,20,40.00692431007415,-75.18412059411764
19123,16,zip,19123,,2023,All,24.7,9,3339000,Top 25% of geographies,51-75% of geographies,83,74,39.96477871975631,-75.151424600625
19142,16,zip,19142,,2023,All,82.2,4,2062000,51-75% of geographies,51-75% of geographies,55,62,39.92483458508124,-75.22834784
19119,14,zip,19119,,2023,All,56.6,3,745000,26-50% of geographies,26-50% of geographies,45,41,40.05659815413058,-75.18933587357142
19111,14,zip,19111,,2023,All,26.0,7,1466500,Top 25% of geographies,51-75% of geographies,76,54,40.05076212463341,-75.08870585928571
19141,13,zip,19141,,2023,All,86.0,5,1154000,51-75% of geographies,26-50% of geographies,64,49,40.034568525174976,-75.15469639923077
19133,12,zip,19133,,2023,All,34.8,9,1554000,Top 25% of geographies,51-75% of geographies,83,56,39.99251414608323,-75.14244887083333
19138,11,zip,19138,,2023,All,93.0,5,250000,51-75% of geographies,Bottom 25% of geographies,64,22,40.05890713816981,-75.15686906818182
19145,11,zip,19145,,2023,All,27.8,8,508000,Top 25% of geographies,26-50% of geographies,80,34,39.922466120093496,-75.17968225999999
19122,10,zip,19122,,2023,All,30.0,5,995000,51-75% of geographies,26-50% of geographies,64,46,39.97569561456034,-75.144733788
19150,9,zip,19150,,2023,All,91.8,3,45000,26-50% of geographies,Bottom 25% of geographies,45,6,40.07176614209382,-75.17035796444445
19128,9,zip,19128,,2023,All,12.6,2,175000,26-50% of geographies,Bottom 25% of geographies,28,18,40.03739961985632,-75.22212288888889
19125,9,zip,19125,,2023,All,5.0,13,2255900,Top 25% of geographies,51-75% of geographies,92,64,39.97606071957389,-75.13107535555555
19149,9,zip,19149,,2023,All,22.0,2,40000,26-50% of geographies,Bottom 25% of geographies,28,6,40.03723319324897,-75.07551156555556
19148,8,zip,19148,,2023,All,4.1,6,1882500,51-75% of geographies,51-75% of geographies,70,60,39.91648514480578,-75.15544142875
19136,7,zip,19136,,2023,All,19.9,4,3922400,51-75% of geographies,Top 25% of geographies,55,77,40.04053208222324,-75.03028312
19135,6,zip,19135,,2023,All,18.2,3,55000,26-50% of geographies,Bottom 25% of geographies,45,8,40.010946543137386,-75.06726916
19114,5,zip,19114,,2023,All,11.1,2,175000,26-50% of geographies,Bottom 25% of geographies,28,18,40.071726054649744,-75.007998856
